Id,Front,Left,Rear,Right
2c9180975a056a64015a1e10d3f270fe,0.999005,0.000000,0.000798,0.000197
2c9180975a056a64015a1de4deb16bdc,0.999663,0.000025,0.000000,0.000311
2c9180975a056a64015a1e0e70ea70ce,0.999220,0.000000,0.000092,0.000688
2c9180975a056a64015a1dfed0c46ec6,0.999857,0.000088,0.000043,0.000011
2c9180975a056a64015a1dfed0c46ec7,1.000000,0.000000,0.000000,0.000000
2c9180975a056a64015a1e44ba4377f8,0.074520,0.001926,0.665994,0.257559
2c9180975a056a64015a1e010c8f6ee1,1.000000,0.000000,0.000000,0.000000
2c9180975a056a64015a1e1db63072aa,0.996840,0.000000,0.002522,0.000638
2c9180975a056a64015a1e1db63072a8,0.000000,0.000063,0.999938,0.000000
2c9180975a056a64015a1e2354f5733c,0.000040,0.000000,0.999027,0.000933
2c9180975a056a64015a1e07928f6ff8,0.999906,0.000051,0.000000,0.000043
2c9180975a056a64015a1e20a607730a,1.000000,0.000000,0.000000,0.000000
2c9180975a056a64015a1e3322e37587,0.005710,0.195605,0.798686,0.000000
2c9180975a056a64015a1e050c296fcd,0.999871,0.000000,0.000064,0.000065
2c9180975a056a64015a1e050c296fcf,0.997922,0.000372,0.000013,0.001693
2c9180975a056a64015a1e04ad9f6f84,0.000013,0.001650,0.998245,0.000092
2c9180975a056a64015a1de7a19c6c2b,1.000000,0.000000,0.000000,0.000000
2c9180975a056a64015a1e1180a37123,0.000000,0.000000,1.000000,0.000000
2c9180975a056a64015a1e1d735c729b,0.999442,0.000000,0.000000,0.000558
2c9180975a056a64015a1e1d735c729c,0.000000,0.000801,0.999199,0.000000
2c9180975a056a64015a1e41bbc27765,0.987604,0.000553,0.001591,0.010252
2c9180975a056a64015a1e41bbc2775e,0.974946,0.000000,0.007629,0.017425
2c9180975a056a64015a1ddc1a306b28,0.000000,0.000110,0.999890,0.000000
2c9180975a056a64015a1de453e96baf,0.997414,0.002490,0.000000,0.000096
2c9180975a056a64015a1e264d5f73c0,0.998854,0.000000,0.001073,0.000073
2c9180975a056a64015a1e23443e7337,0.991493,0.000000,0.000000,0.008507
2c9180975a056a64015a1dce7ac869b5,0.000000,0.000000,1.000000,0.000000
2c9180975a056a64015a1e35cd3175a7,0.000000,0.000149,0.999851,0.000000
2c9180975a056a64015a1de210cb6b96,0.997690,0.000000,0.001498,0.000812
2c9180975a056a64015a1de210cb6b95,0.012334,0.006319,0.981089,0.000259
2c9180975a056a64015a1e041ed06f68,0.000805,0.000058,0.999075,0.000063
2c9180975a056a64015a1e075da56ff2,0.999955,0.000000,0.000000,0.000045
2c9180975a056a64015a1dedca666cb1,0.000000,0.000000,0.999989,0.000011
2c9180975a056a64015a1e304546752a,0.999871,0.000000,0.000038,0.000091
2c9180975a056a64015a1dedca666cb2,0.999196,0.000713,0.000000,0.000091
2c9180975a056a64015a1dee86696cd8,0.242538,0.000012,0.012516,0.744934
2c9180975a056a64015a1e01db306f4a,0.130930,0.010347,0.858723,0.000000
2c9180975a056a64015a1dd566ae6a82,0.997888,0.000000,0.000044,0.002068
2c9180975a056a64015a1dee5d166cd0,1.000000,0.000000,0.000000,0.000000
2c9180975a056a64015a1dd566ae6a83,0.000000,0.000000,1.000000,0.000000
2c9180975a056a64015a1dfb2f626e41,0.999667,0.000022,0.000000,0.000311
2c91809a59f17e5d015a21a5627830e0,0.000000,0.000136,0.999305,0.000559
2c91809a59f17e5d015a21a7f5093117,0.962194,0.000000,0.001829,0.035977
2c91809a59f17e5d015a21a7f5093121,0.000305,0.003285,0.996410,0.000000
2c9180975a056a64015a1e4c3a11791f,0.998999,0.000031,0.000000,0.000969
2c9180975a056a64015a1e4c3a117920,0.009039,0.000691,0.990270,0.000000
2c9180975a056a64015a1e1433667153,0.001828,0.000105,0.998068,0.000000
2c9180975a056a64015a1ddb8a456b05,0.993916,0.000633,0.000010,0.005440
2c9180975a056a64015a1df0d6066cf4,0.000000,0.000069,0.999931,0.000000
2c9180975a056a64015a1e074c876fef,0.999795,0.000191,0.000000,0.000014
2c9180975a056a64015a1dc26fe66863,0.005027,0.003285,0.991688,0.000000
2c9180975a056a64015a1e074c876fed,0.999698,0.000037,0.000000,0.000265
2c9180975a056a64015a1e5b850e7ae3,0.999852,0.000000,0.000000,0.000148
2c9180975a056a64015a1e5b850e7ae1,0.999848,0.000000,0.000000,0.000152
2c91809e5aba7d25015acd6875ca209b,0.999487,0.000000,0.000477,0.000036
2c91809e5aba7d25015acd44a99d1e9f,0.999978,0.000000,0.000022,0.000000
2c9180a35b853b13015b8b8c25f75369,0.000024,0.000076,0.990479,0.009422
2c9180935b853a2d015b8b9b42525153,0.000000,0.003260,0.996726,0.000014
2c91808e5aba7da4015acd3f993557d4,0.000000,0.003260,0.996726,0.000014
2c91808e5aba7da4015acd3f655a57be,0.998505,0.000635,0.000000,0.000860
2c9180ad5b853aa1015b8b82f7725436,0.996181,0.000287,0.000350,0.003182
2c9180975a056a64015a1e5865077a5e,0.000000,0.000000,1.000000,0.000000
2c9180975a056a64015a1e44cfea77fd,0.996990,0.000000,0.001001,0.002009
2c9180975a056a64015a1e5ed1d57b22,0.999543,0.000000,0.000000,0.000457
2c9180975a056a64015a1e5ed1d57b21,0.000000,0.000020,0.999980,0.000000
2c91809a59f17e5d015a219e78d93061,0.999984,0.000000,0.000000,0.000016
2c91809a59f17e5d015a219e78d93060,0.000000,0.000398,0.999533,0.000069
2c91809a59f17e5d015a21bde7a934f0,0.000000,0.000042,0.999958,0.000000
2c91809a59f17e5d015a21bde7a934ef,0.000000,0.000082,0.999861,0.000057
