age,education,familySize,typeOfHousing,houseOwnership,householdAnnualIncome,ageOfBuilding,freqOfMoving,ageOfCustomerAccountInDays,avgDailyUsage,lateFeePayments,AvgComplaintsRaised,AvgComplaintsResolved,modeOfPayment,typeOfPlanI,typeOfPlanII,Target
37,medium,Large,3BHK-Apt,Owned,Medium,10-20yrs,3,2-5yrs,0.7668449023,1,2,1,DD,Fixed,Fixed,Yes
44,High,Small,2BHK-Apt,Owned,Low,>30yrs,1,>5yrs,1.3392183434,3,7,6,Others,Variable,Variable,Yes
44,medium,Medium,1BHK-Apt,Rented,Medium,10-20yrs,4,>5yrs,9.5919316067,2,8,1,Others,Fixed,Fixed,No
36,High,Medium,1BHK-Apt,Owned,High,20-30yrs,5,2-5yrs,3.4796519388,1,7,1,Others,Fixed,Fixed,No
35,low,Medium,1BHK-Apt,Owned,Medium,<10yrs,2,2-5yrs,3.5762351612,2,1,0,DD,Variable,Variable,No
41,low,Medium,1BHK-Apt,Rented,Medium,20-30yrs,4,>10yrs,4.650310247,0,7,5,Others,Variable,Variable,No
45,High,Medium,Mansion,Owned,Medium,20-30yrs,1,1-2yrs,12.7406450814,1,10,8,DD,Variable,Variable,Yes
30,low,Small,5BHK-House,Owned,Medium,<10yrs,3,2-5yrs,6.7704165545,2,4,2,SD,Fixed,Fixed,No
38,low,Medium,2BHK-Apt,Owned,High,20-30yrs,4,1-2yrs,2.3062328223,1,4,0,PPM,Variable,Variable,No
37,medium,Small,2BHK-Apt,Owned,High,10-20yrs,4,>10yrs,6.8674301732,0,9,0,DD,Variable,Variable,No
49,High,Small,2BHK-Apt,Owned,Medium,10-20yrs,3,1-2yrs,2.1767743625,0,8,1,SD,Fixed,Fixed,No
39,medium,Small,2BHK-Apt,Owned,Low,20-30yrs,1,>5yrs,1.5626468555,1,6,3,SD,Fixed,Fixed,No
36,High,Small,5BHK-House,Rented,Medium,20-30yrs,2,<1yr,1.4840735437,2,4,3,Others,Fixed,Fixed,No
32,High,Large,3BHK-Apt,Owned,Medium,20-30yrs,4,<1yr,11.9354533907,1,4,1,SD,Fixed,Fixed,No
34,low,Medium,2BHK-Apt,Rented,Medium,10-20yrs,5,2-5yrs,5.6560425549,3,2,0,SD,Variable,Variable,No
