Id,Front,Left,Rear,Right
2c9180975a056a64015a1e10d3f270fe,0.333133,0.012972,0.327554,0.326342
2c9180975a056a64015a1de4deb16bdc,0.329135,0.323678,0.012511,0.334676
2c9180975a056a64015a1e0e70ea70ce,0.330567,0.012966,0.327752,0.328715
2c9180975a056a64015a1dfed0c46ec6,0.337033,0.012890,0.325487,0.324590
2c9180975a056a64015a1dfed0c46ec7,0.329980,0.323048,0.012533,0.334438
2c9180975a056a64015a1e44ba4377f8,0.213947,0.029840,0.382879,0.373334
2c9180975a056a64015a1e010c8f6ee1,0.328560,0.324005,0.012491,0.334943
2c9180975a056a64015a1e1db63072aa,0.336371,0.012878,0.325416,0.325336
2c9180975a056a64015a1e1db63072a8,0.001766,0.612895,0.186333,0.199006
2c9180975a056a64015a1e2354f5733c,0.001755,0.614636,0.185911,0.197698
2c9180975a056a64015a1e07928f6ff8,0.328733,0.322997,0.012498,0.335772
2c9180975a056a64015a1e20a607730a,0.329980,0.323048,0.012533,0.334438
2c9180975a056a64015a1e3322e37587,0.327554,0.329384,0.329603,0.013459
2c9180975a056a64015a1e050c296fcd,0.329608,0.012877,0.327442,0.330072
2c9180975a056a64015a1e050c296fcf,0.336371,0.012878,0.325416,0.325336
2c9180975a056a64015a1e04ad9f6f84,0.001768,0.614189,0.186241,0.197801
2c9180975a056a64015a1de7a19c6c2b,0.333133,0.012972,0.327554,0.326342
2c9180975a056a64015a1e1180a37123,0.001755,0.614258,0.185867,0.198121
2c9180975a056a64015a1e1d735c729b,0.356288,0.036588,0.073398,0.533725
2c9180975a056a64015a1e1d735c729c,0.001768,0.614189,0.186241,0.197801
2c9180975a056a64015a1e41bbc27765,0.328334,0.013061,0.327116,0.331490
2c9180975a056a64015a1e41bbc2775e,0.327879,0.013101,0.326902,0.332117
2c9180975a056a64015a1ddc1a306b28,0.001772,0.613530,0.186530,0.198168
2c9180975a056a64015a1de453e96baf,0.339985,0.318087,0.012530,0.329398
2c9180975a056a64015a1e264d5f73c0,0.331697,0.012914,0.326862,0.328527
2c9180975a056a64015a1e23443e7337,0.327545,0.324678,0.012504,0.335273
2c9180975a056a64015a1dce7ac869b5,0.001759,0.614490,0.186075,0.197675
2c9180975a056a64015a1e35cd3175a7,0.001772,0.613530,0.186530,0.198168
2c9180975a056a64015a1de210cb6b96,0.330567,0.012966,0.327752,0.328715
2c9180975a056a64015a1de210cb6b95,0.317908,0.332398,0.334893,0.014802
2c9180975a056a64015a1e041ed06f68,0.001841,0.612583,0.188408,0.197168
2c9180975a056a64015a1e075da56ff2,0.338981,0.319391,0.012502,0.329126
2c9180975a056a64015a1dedca666cb1,0.001759,0.614490,0.186075,0.197675
2c9180975a056a64015a1e304546752a,0.330567,0.012966,0.327752,0.328715
2c9180975a056a64015a1dedca666cb2,0.329169,0.323685,0.012493,0.334653
2c9180975a056a64015a1dee86696cd8,0.326468,0.013058,0.327094,0.333380
2c9180975a056a64015a1e01db306f4a,0.327502,0.329623,0.329479,0.013396
2c9180975a056a64015a1dd566ae6a82,0.332086,0.012786,0.326486,0.328642
2c9180975a056a64015a1dee5d166cd0,0.338981,0.319391,0.012502,0.329126
2c9180975a056a64015a1dd566ae6a83,0.001772,0.613530,0.186530,0.198168
2c9180975a056a64015a1dfb2f626e41,0.329745,0.323357,0.012512,0.334386
2c91809a59f17e5d015a21a5627830e0,0.001767,0.613677,0.186365,0.198191
2c91809a59f17e5d015a21a7f5093117,0.327879,0.013101,0.326902,0.332117
2c91809a59f17e5d015a21a7f5093121,0.327502,0.329623,0.329479,0.013396
2c9180975a056a64015a1e4c3a11791f,0.329745,0.323357,0.012512,0.334386
2c9180975a056a64015a1e4c3a117920,0.328058,0.330880,0.327749,0.013313
2c9180975a056a64015a1e1433667153,0.320990,0.329430,0.334789,0.014790
2c9180975a056a64015a1ddb8a456b05,0.329135,0.323678,0.012511,0.334676
2c9180975a056a64015a1df0d6066cf4,0.001767,0.613677,0.186365,0.198191
2c9180975a056a64015a1e074c876fef,0.327709,0.325047,0.012513,0.334732
2c9180975a056a64015a1dc26fe66863,0.335395,0.325062,0.326416,0.013127
2c9180975a056a64015a1e074c876fed,0.327709,0.325047,0.012513,0.334732
2c9180975a056a64015a1e5b850e7ae3,0.329135,0.323678,0.012511,0.334676
